name,monthly_price_for_1_line,monthly_price_per_line_for_2_lines,monthly_price_per_line_for_3_lines,monthly_price_per_line_for_4_lines,unlimited_plus_plan_price_for_connected_tablets ,unlimited_plus_plan_features_for_connected_tablets  ,price_to_add_connected_tablets_to_the_unlimited_plan,price_to_add_connected_smart_watches,features_of_the_unlimited_plan_for_connected_smart_watches ,features_of_the_unlimited_plan_for_connected_tablets ,video_streaming_using_5G_ultra_wideband ,video_streaming_using_5G_nationwide_and_4G,video_streaming_using_hotspot,access_to_5G,mobile_hotspot ,international_data ,perks_you_may_choose_between_for_an_additional_10_dollars,autopay_discount,groups_that_get_discounts ,Links 
Unlimited Ultimate,$90 ,$80 ,$65 ,$55 ,$30 ,50% discount per phone line and 30 GB of LTE/5G Nationwide Unlimited 5G Ultra Wideband ,$20 ,$10 ,Unlimited 5G / 4G LTE data (+15 GB of premium data). Unlimited Talk & Text,"50% discount per phone line, 15 GB LTE/5G Nationwide Unlimited 5G Ultra Wideband",4K ,1080p, 1080p,5G Nationwide & 5G UW Included ,60GB of premium hotspot,"High-speed international data, talk & text in 210+ countries. ","Disney Bundle, 100 GB Mobile Hotspot, Apple One?, Walmart+ Membership, Apple Music Family, Smartwatch Data & Safety,+play $15 Monthly Credit, 3 TravelPass days, 2 TB Cloud Storage ",$10/line per month discount for using Auto Pay and paper-free billing. ,"first responders, military members or veterans, nurses, teachers or college students.",https://www.verizon.com/sales/digital/landing.html
Unlimited Plus,$80 ,$70 ,$55 ,$45 ,$30 ,"50% discount per phone line, 30 GB LTE/5G Nationwide Unlimited 5G Ultra Wideband ",$20 ,$10 ,Unlimited 5G / 4G LTE data (+15 GB of premium data). Unlimited Talk & Text,"50% discount per phone line, 15 GB LTE/5G Nationwide Unlimited 5G Ultra Wideband",4K ,720 p ,1080p ,5G Nationwide & 5G UW Included ,30GB of premium hotspot,"Talk, text, & data in Canada and Mexico and text for other nations outside the US","Disney Bundle, 100 GB Mobile Hotspot, Apple One?, Walmart+ Membership, Apple Music Family, Smartwatch Data & Safety,+play $15 Monthly Credit, 3 TravelPass days, 2 TB Cloud Storage ",$10/line per month discount for using Auto Pay and paper-free billing. ,"first responders, military members or veterans, nurses, teachers or college students.",https://www.verizon.com/sales/digital/landing.html
Unlimited Welcome,$65 ,$55 ,$30 ,$30 ,$30 ,30 GB LTE/5G Nationwide Unlimited 5G Ultra Wideband,$20 ,$10 ,Unlimited 5G / 4G LTE data (+15 GB of premium data). Unlimited Talk & Text,15 GB LTE/5G Nationwide Unlimited 5G Ultra Wideband ,,480 p ,1080p ,5G Nationwide,No premium hotspot,"Talk, text, & data in Canada and Mexico and text for other nations outside the US","Disney Bundle, 100 GB Mobile Hotspot, Apple One?, Walmart+ Membership, Apple Music Family, Smartwatch Data & Safety,+play $15 Monthly Credit, 3 TravelPass days, 2 TB Cloud Storage ",$10/line per month discount for using Auto Pay and paper-free billing. ,"first responders, military members or veterans, nurses, teachers or college students.",https://www.verizon.com/sales/digital/landing.html
15 GB,$45 ,$45 ,$45 ,$45 ,,,,,,,,480 p ,1080p ,5G Nationwide,Share your wireless network connection with other devices over Wi-Fi.,"Talk, text, & data in Canada and Mexico and text for other nations outside the US",N/A,$10/line per month discount for using Auto Pay and paper-free billing. ,"first responders, military members or veterans, nurses, teachers or college students.",https://www.verizon.com/plans/prepaid/
Talk and Text,$35 ,$35 ,$35 ,$35 ,,,,,,,,,,4G LTE,N/A,International Texting ,N/A,$5/line per month discount for using Auto Pay and paper-free billing. ,"first responders, military members or veterans, nurses, teachers or college students.",https://www.verizon.com/plans/prepaid/
